CategoryId,CategoryAvgPrice,UnitsSoldCurrent,UnitsSoldPrev,Next
38,3474.56,551,389,784
113,3236.278,238,89,105
137,3276.6243,4,10,13
5,6058.391,7,11,7
38,3474.56,791,1078,1414
5,6058.391,35,2,20
4,11759.097,12,57,0
38,3474.56,580,659,555
5,6058.391,6,3,7
113,3236.278,26,9,33
113,3236.278,202,139,304
38,3474.56,175,117,173
4,11759.097,36,24,4
4,11759.097,11,66,34
137,3276.6243,270,390,351
4,11759.097,28,7,53
137,3276.6243,127,118,148
4,11759.097,45,53,42
38,3474.56,714,733,1078
113,3236.278,189,165,185
5,6058.391,2,3,10
38,3474.56,642,735,733
4,11759.097,20,9,26
113,3236.278,263,282,171
5,6058.391,12,18,21
38,3474.56,657,601,735
137,3276.6243,61,322,0
113,3236.278,116,166,89
5,6058.391,18,28,12
137,3276.6243,73,100,63
137,3276.6243,67,59,56
38,3474.56,355,747,516
38,3474.56,848,641,1036
5,6058.391,4,3,8
137,3276.6243,137,148,332
137,3276.6243,148,127,137
137,3276.6243,79,2,136
4,11759.097,7,55,28
4,11759.097,49,35,61
5,6058.391,19,57,32
137,3276.6243,2,0,44
5,6058.391,4,10,7
5,6058.391,10,26,3
38,3474.56,465,521,720
113,3236.278,111,137,118
38,3474.56,192,529,0
5,6058.391,17,11,3
4,11759.097,57,124,12
137,3276.6243,163,209,173
38,3474.56,524,561,522
4,11759.097,12,13,8
137,3276.6243,209,211,163
5,6058.391,7,7,6
113,3236.278,155,179,192
113,3236.278,166,227,116
38,3474.56,389,549,551
137,3276.6243,76,59,118
4,11759.097,24,49,36
113,3236.278,218,237,89
137,3276.6243,332,137,211
5,6058.391,21,12,26
113,3236.278,146,118,549
137,3276.6243,6,44,10
5,6058.391,7,6,14
137,3276.6243,44,2,6
137,3276.6243,223,173,390
5,6058.391,28,13,18
4,11759.097,61,49,49
5,6058.391,10,2,4
113,3236.278,116,105,149
137,3276.6243,100,95,73
113,3236.278,105,238,116
137,3276.6243,173,163,223
113,3236.278,89,218,0
4,11759.097,62,29,45
113,3236.278,33,26,42
38,3474.56,561,663,524
38,3474.56,1252,720,771
137,3276.6243,118,76,127
113,3236.278,12,0,93
4,11759.097,36,49,64
5,6058.391,6,8,2
113,3236.278,119,94,227
5,6058.391,11,14,57
113,3236.278,139,220,202
38,3474.56,117,416,175
5,6058.391,2,10,11
38,3474.56,555,580,601
137,3276.6243,48,136,49
5,6058.391,16,2,13
38,3474.56,560,220,705
137,3276.6243,63,73,59
113,3236.278,246,304,237
38,3474.56,173,175,172
38,3474.56,1078,714,791
113,3236.278,45,42,94
137,3276.6243,195,842,182
38,3474.56,784,551,623
4,11759.097,13,4,12
4,11759.097,42,45,124
4,11759.097,34,11,29
38,3474.56,601,555,657
5,6058.391,11,6,17
4,11759.097,13,0,8
5,6058.391,6,7,11
137,3276.6243,390,223,270
4,11759.097,40,26,44
38,3474.56,771,1252,641
4,11759.097,53,28,45
5,6058.391,7,4,8
137,3276.6243,13,4,2
137,3276.6243,331,351,214
38,3474.56,1036,848,659
38,3474.56,728,516,839
5,6058.391,57,11,19
137,3276.6243,351,270,331
113,3236.278,237,246,218
4,11759.097,59,31,55
113,3236.278,277,584,537
4,11759.097,124,42,57
5,6058.391,8,4,3
137,3276.6243,136,79,48
113,3236.278,227,119,166
5,6058.391,26,21,10
4,11759.097,45,62,31
137,3276.6243,49,48,43
38,3474.56,705,560,663
137,3276.6243,182,195,237
4,11759.097,21,24,35
4,11759.097,8,12,9
5,6058.391,8,32,17
4,11759.097,29,34,62
113,3236.278,282,158,263
113,3236.278,118,111,146
5,6058.391,14,7,11
38,3474.56,659,1036,580
38,3474.56,839,728,521
38,3474.56,172,173,220
113,3236.278,149,116,137
137,3276.6243,237,182,276
4,11759.097,13,8,12
5,6058.391,3,17,4
113,3236.278,537,277,220
137,3276.6243,2,13,79
5,6058.391,10,20,8
5,6058.391,8,10,6
113,3236.278,185,189,179
4,11759.097,37,64,31
113,3236.278,141,171,165
38,3474.56,663,705,561
38,3474.56,521,839,465
4,11759.097,31,37,31
4,11759.097,55,59,7
113,3236.278,192,155,152
137,3276.6243,322,314,61
137,3276.6243,56,67,95
4,11759.097,8,13,13
5,6058.391,8,7,8
4,11759.097,44,40,49
113,3236.278,304,202,246
4,11759.097,49,61,36
113,3236.278,549,146,227
137,3276.6243,314,271,322
38,3474.56,621,623,529
38,3474.56,529,621,192
38,3474.56,522,524,747
4,11759.097,35,21,49
137,3276.6243,95,56,100
5,6058.391,3,8,2
137,3276.6243,842,288,195
5,6058.391,32,19,8
137,3276.6243,214,331,288
5,6058.391,10,15,2
4,11759.097,64,36,37
113,3236.278,158,227,282
4,11759.097,49,44,24
38,3474.56,1414,791,549
113,3236.278,179,185,155
113,3236.278,165,141,189
113,3236.278,89,116,238
38,3474.56,733,642,714
113,3236.278,584,152,277
5,6058.391,13,16,28
137,3276.6243,211,332,209
5,6058.391,2,6,16
5,6058.391,17,8,15
5,6058.391,2,0,35
113,3236.278,227,549,158
38,3474.56,549,1414,389
5,6058.391,7,7,7
4,11759.097,12,13,24
113,3236.278,137,149,111
5,6058.391,3,10,6
38,3474.56,735,657,642
5,6058.391,8,8,3
38,3474.56,623,784,621
5,6058.391,11,2,7
4,11759.097,4,36,13
4,11759.097,26,20,40
4,11759.097,24,12,21
113,3236.278,171,263,141
38,3474.56,720,465,1252
137,3276.6243,43,49,59
113,3236.278,93,12,9
113,3236.278,152,192,584
38,3474.56,747,522,355
113,3236.278,42,33,45
113,3236.278,9,93,26
113,3236.278,94,45,119
113,3236.278,220,537,139
38,3474.56,58,0,416
137,3276.6243,59,63,76
4,11759.097,9,8,20
5,6058.391,20,35,10
38,3474.56,416,58,117
38,3474.56,516,355,728
137,3276.6243,276,237,271
4,11759.097,66,26,11
4,11759.097,31,45,59
38,3474.56,641,771,848
38,3474.56,220,172,560
4,11759.097,26,31,66
4,11759.097,31,31,26
137,3276.6243,10,6,4
5,6058.391,15,17,10
137,3276.6243,271,276,314
137,3276.6243,59,43,67
137,3276.6243,288,214,842
5,6058.391,3,8,0
