CountryId,UnitsSoldCurrent,UnitsSoldPrev,Next
2152,1,0,0
224,311,354,422
224,50,0,255
224,344,463,435
224,255,50,68
224,460,435,318
224,278,311,340
224,100,0,0
947,1,0,0
224,311,270,278
224,303,195,354
224,331,390,298
224,419,265,640
224,298,340,379
224,264,373,265
1670,1,0,0
465,11,0,0
224,422,311,312
224,354,303,311
224,347,142,418
465,7,0,0
224,265,264,419
224,270,276,311
224,507,418,390
224,379,298,327
224,340,278,298
224,640,419,463
224,418,347,507
224,215,447,261
224,127,130,142
224,390,507,331
224,195,229,303
1911,4,0,0
224,360,443,610
224,276,318,270
224,115,68,130
224,373,323,264
224,323,261,373
224,327,379,443
224,318,460,276
224,130,115,127
224,142,127,347
224,261,215,323
224,312,422,0
224,435,344,460
224,68,255,115
224,463,640,344
224,447,298,215
706,2,0,0
224,443,327,360
224,229,610,195
224,610,360,229
224,298,331,447
