Month,UnitsSoldCurrent,UnitsSoldPrev,Next
6,298,331,418
3,373,360,130
1,115,422,507
12,318,379,419
8,390,130,379
12,68,344,360
3,311,435,255
7,110,195,331
6,418,298,215
2,270,327,640
5,422,255,115
2,323,264,195
7,507,115,460
10,360,68,373
10,298,303,276
4,142,265,303
4,264,610,323
5,340,329,610
5,347,443,354
3,354,347,278
11,255,311,422
11,610,340,264
9,443,463,347
4,278,354,344
10,435,311,311
2,130,373,390
12,215,418,311
4,311,215,435
11,447,127,327
8,463,276,443
11,460,507,229
8,327,447,270
1,261,50,329
12,229,460,265
1,195,323,110
10,50,640,261
9,344,278,68
5,265,229,142
7,640,270,50
1,276,298,463
2,303,142,298
6,419,318,0
3,127,0,447
6,329,261,340
7,379,390,318
9,331,110,298
